sourcedId,status,dateLastModified,enabledUser,orgs,role,username,userIds,givenName,familyName,middleName,role,identifier,email,sms,phone,agents,grades,password
18125,,,TRUE,2,student,billy.flores,{FED:18125},BILLY,FLORES,DASEAN,,17580,billy.flores@classlink.k12.nj.us,,,,11,
18149,,,TRUE,2,student,brittley.johnson,{FED:18149},BRITTLEY,JOHNSON,LAMAR,,14655,brittley.johnson@classlink.k12.nj.us,,,,12,
18162,,,TRUE,2,student,jocelyn.harris,{FED:18162},JOCELYN,HARRIS,GENE,,19426,jocelyn.harris@classlink.k12.nj.us,,,,10,
18217,,,TRUE,2,student,justin.vazquez,{FED:18217},JUSTIN,VAZQUEZ,SYNIA,,18924,justin.vazquez@classlink.k12.nj.us,,,,10,
18280,,,TRUE,2,student,taniya.vazquezvelasco,{FED:18280},TANIYA,VAZQUEZ VELASCO,,,18239,taniya.vazquezvelasco@classlink.k12.nj.us,,,,10,
18317,,,TRUE,2,student,giselle.houston,{FED:18317},GISELLE,HOUSTON,CAMILO,,15125,giselle.houston@classlink.k12.nj.us,,,,11,
18323,,,TRUE,2,student,victor.runyan,{FED:18323},VICTOR,RUNYAN,SAVAHI,,19866,victor.runyan@classlink.k12.nj.us,,,,10,
18407,,,TRUE,2,student,sharon.mayfield,{FED:18407},SHARON,MAYFIELD,JANE,,19319,sharon.mayfield@classlink.k12.nj.us,,,,11,
18551,,,TRUE,2,student,amber.cline,{FED:18551},AMBER,CLINE,ALLURE,,17966,amber.cline@classlink.k12.nj.us,,,,11,
18617,,,TRUE,2,student,arleth.mccollister,{FED:18617},ARLETH,MCCOLLISTER,,,19507,arleth.mccollister@classlink.k12.nj.us,,,,10,
18793,,,TRUE,2,student,travis.harris,{FED:18793},TRAVIS,HARRIS,MARIE,,19428,travis.harris@classlink.k12.nj.us,,,,10,
18797,,,TRUE,2,student,arthur.tucker,{FED:18797},ARTHUR,TUCKER,GLENICE,,14723,arthur.tucker@classlink.k12.nj.us,,,,12,
18883,,,TRUE,2,student,trshaivion.tucker,{FED:18883},TR'SHAIVION,TUCKER,PHILIP,,17407,trshaivion.tucker@classlink.k12.nj.us,,,,11,
18956,,,TRUE,2,student,katelynn.semrad,{FED:18956},KATELYNN,SEMRAD,,,17609,katelynn.semrad@classlink.k12.nj.us,,,,12,
19022,,,TRUE,2,student,saryiah.dockery,{FED:19022},SARYIAH,DOCKERY,,,15158,saryiah.dockery@classlink.k12.nj.us,,,,11,
19051,,,TRUE,2,student,mylei.rakestraw,{FED:19051},MYLEI,RAKESTRAW,MARIA,,18090,mylei.rakestraw@classlink.k12.nj.us,,,,12,
19145,,,TRUE,2,student,amy.carsten,{FED:19145},AMY,CARSTEN,LYNN,,15638,amy.carsten@classlink.k12.nj.us,,,,12,
19214,,,TRUE,2,student,kevin.hood,{FED:19214},KEVIN,HOOD,,,18447,kevin.hood@classlink.k12.nj.us,,,,12,
19245,,,TRUE,2,student,jorja.milton,{FED:19245},JORJA,MILTON,MARIE,,18045,jorja.milton@classlink.k12.nj.us,,,,11,
19529,,,TRUE,2,student,lari.reyesgarcia,{FED:19529},LARI,REYES GARCIA,SIMONE,,19934,lari.reyesgarcia@classlink.k12.nj.us,,,,11,
19539,,,TRUE,2,student,anthony.flores,{FED:19539},ANTHONY,FLORES,UCHENNA CHINON,,18279,anthony.flores@classlink.k12.nj.us,,,,12,
19690,,,TRUE,2,student,juan.hart,{FED:19690},JUAN,HART,ROBERT,,17653,juan.hart@classlink.k12.nj.us,,,,11,
19786,,,TRUE,2,student,taylor.richardson,{FED:19786},TAYLOR,RICHARDSON,LEVI,,16317,taylor.richardson@classlink.k12.nj.us,,,,11,
20157,,,TRUE,2,student,carly.richardson,{FED:20157},CARLY,RICHARDSON,DEMARICE,,17393,carly.richardson@classlink.k12.nj.us,,,,11,
20354,,,TRUE,2,student,daniel.zavala,{FED:20354},DANIEL,ZAVALA,GABRIEL,,16716,daniel.zavala@classlink.k12.nj.us,,,,10,
20823,,,TRUE,2,student,jenny.renteria,{FED:20823},JENNY,RENTERIA,EDWARD,,15311,jenny.renteria@classlink.k12.nj.us,,,,11,
20854,,,TRUE,2,student,carlos.anguiano,{FED:20854},CARLOS,ANGUIANO,RENATA,,18611,carlos.anguiano@classlink.k12.nj.us,,,,11,
21427,,,TRUE,2,student,akayla.reazin,{FED:21427},AKAYLA,REAZIN,JOHNSON,,16364,akayla.reazin@classlink.k12.nj.us,,,,12,
22044,,,TRUE,2,student,william.bonner,{FED:22044},WILLIAM,BONNER,ROSA,,18137,william.bonner@classlink.k12.nj.us,,,,9,
22135,,,TRUE,7,student,keely.davis,{FED:22135},KEELY,DAVIS,KESHON,,19826,keely.davis@classlink.k12.nj.us,,,,4,
22143,,,TRUE,3,student,kendall.lozano,{FED:22143},KENDALL,LOZANO,FAITH,,19297,kendall.lozano@classlink.k12.nj.us,,,,8,
22156,,,TRUE,3,student,brandon.landfair,{FED:22156},BRANDON,LANDFAIR,PATRICK,,19791,brandon.landfair@classlink.k12.nj.us,,,,6,
22160,,,TRUE,2,student,eugene.lawson,{FED:22160},EUGENE,LAWSON,VONTRELL,,19859,eugene.lawson@classlink.k12.nj.us,,,,9,
22172,,,TRUE,3,student,naomi.mayfield,{FED:22172},NAOMI,MAYFIELD,RENAE,,19581,naomi.mayfield@classlink.k12.nj.us,,,,8,
22204,,,TRUE,3,student,makayla.torrescano,{FED:22204},MAKAYLA,TORRESCANO,DANIELLE,,17515,makayla.torrescano@classlink.k12.nj.us,,,,8,
22301,,,TRUE,2,student,pedro.wilson,{FED:22301},PEDRO,WILSON,,,17370,pedro.wilson@classlink.k12.nj.us,,,,9,
22310,,,TRUE,2,student,latavian.milton,{FED:22310},LATAVIAN,MILTON,,,16651,latavian.milton@classlink.k12.nj.us,,,,9,
22321,,,TRUE,3,student,jacqueline.milton,{FED:22321},JACQUELINE,MILTON,ROYAL,,19517,jacqueline.milton@classlink.k12.nj.us,,,,7,
22347,,,TRUE,3,student,isai.anderson,{FED:22347},ISAI,ANDERSON,JERMAINE,,18905,isai.anderson@classlink.k12.nj.us,,,,8,
22356,,,TRUE,3,student,zachariah.garcia,{FED:22356},ZACHARIAH,GARCIA,,,19869,zachariah.garcia@classlink.k12.nj.us,,,,8,
22408,,,TRUE,3,student,armando.renteria,{FED:22408},ARMANDO,RENTERIA,ISACC,,19513,armando.renteria@classlink.k12.nj.us,,,,8,
22427,,,TRUE,3,student,martin.zavala,{FED:22427},MARTIN,ZAVALA,AIMEE,,18203,martin.zavala@classlink.k12.nj.us,,,,8,
22435,,,TRUE,2,student,genaro.sandoval,{FED:22435},GENARO,SANDOVAL,NICOLE,,19323,genaro.sandoval@classlink.k12.nj.us,,,,9,
22472,,,TRUE,3,student,megan.sandoval,{FED:22472},MEGAN,SANDOVAL,,,18226,megan.sandoval@classlink.k12.nj.us,,,,8,
22701,,,TRUE,3,student,blake.massey,{FED:22701},BLAKE,MASSEY,AMADELI,,19789,blake.massey@classlink.k12.nj.us,,,,7,
22717,,,TRUE,3,student,damien.eastham,{FED:22717},DAMIEN,EASTHAM,,,19571,damien.eastham@classlink.k12.nj.us,,,,6,
22725,,,TRUE,3,student,fernando.hawkins,{FED:22725},FERNANDO,HAWKINS,EXAEL,,19375,fernando.hawkins@classlink.k12.nj.us,,,,7,
22726,,,TRUE,3,student,faith.lanham,{FED:22726},FAITH,LANHAM,SUSAN MARIE,,18879,faith.lanham@classlink.k12.nj.us,,,,7,
22727,,,TRUE,3,student,robby.hayley,{FED:22727},ROBBY,HAYLEY,AGUSTINA,,18991,robby.hayley@classlink.k12.nj.us,,,,8,
22765,,,TRUE,2,student,topanga.blackmon,{FED:22765},TOPANGA,BLACKMON,,,18934,topanga.blackmon@classlink.k12.nj.us,,,,9,
22783,,,TRUE,3,student,arianna.wedgeworth,{FED:22783},ARIANNA,WEDGEWORTH,,,17904,arianna.wedgeworth@classlink.k12.nj.us,,,,8,
22847,,,TRUE,2,student,demetrio.hazuka,{FED:22847},DEMETRIO,HAZUKA,DABRAYLLON,,18170,demetrio.hazuka@classlink.k12.nj.us,,,,9,
22860,,,TRUE,3,student,jasmin.hill,{FED:22860},JASMIN,HILL,ALBERTO,,18820,jasmin.hill@classlink.k12.nj.us,,,,8,
22891,,,TRUE,3,student,alexis.riosarreola,{FED:22891},ALEXIS,RIOS ARREOLA,ELAINE,,18977,alexis.riosarreola@classlink.k12.nj.us,,,,7,
22909,,,TRUE,3,student,arturo.anguiano,{FED:22909},ARTURO,ANGUIANO,MICHELLE,,19079,arturo.anguiano@classlink.k12.nj.us,,,,6,
22929,,,TRUE,3,student,savanna.martinez,{FED:22929},SAVANNA,MARTINEZ,NICOLE,,18763,savanna.martinez@classlink.k12.nj.us,,,,7,
22949,,,TRUE,3,student,kayleen.griffith,{FED:22949},KAYLEEN,GRIFFITH,,,19067,kayleen.griffith@classlink.k12.nj.us,,,,8,
23018,,,TRUE,3,student,connor.zuniga,{FED:23018},CONNOR,ZUNIGA,KAROLINA,,19989,connor.zuniga@classlink.k12.nj.us,,,,7,
23069,,,TRUE,3,student,matheu.line,{FED:23069},MATHEU,LINE,JAMES,,19710,matheu.line@classlink.k12.nj.us,,,,8,
23142,,,TRUE,3,student,rocky.line,{FED:23142},ROCKY,LINE,LINDA,,18635,rocky.line@classlink.k12.nj.us,,,,7,
23144,,,TRUE,3,student,kamarion.anderson,{FED:23144},KA'MARION,ANDERSON,DAMARA,,19626,kamarion.anderson@classlink.k12.nj.us,,,,7,
23146,,,TRUE,7,student,darrius.scott,{FED:23146},DARRIUS,SCOTT,DALTON,,19625,darrius.scott@classlink.k12.nj.us,,,,5,
23185,,,TRUE,3,student,abbie.scott,{FED:23185},ABBIE,SCOTT,MANUEL,,18562,abbie.scott@classlink.k12.nj.us,,,,7,
23308,,,TRUE,3,student,jordan.zweck,{FED:23308},JORDAN,ZWECK,,,19642,jordan.zweck@classlink.k12.nj.us,,,,8,
23416,,,TRUE,3,student,khrislyn.potter,{FED:23416},KHRISLYN,POTTER,DARLIN,,19304,khrislyn.potter@classlink.k12.nj.us,,,,7,
23430,,,TRUE,7,student,holli.rodriguez,{FED:23430},HOLLI,RODRIGUEZ,,,19914,holli.rodriguez@classlink.k12.nj.us,,,,5,
23482,,,TRUE,7,student,collin.davis,{FED:23482},COLLIN,DAVIS,THOMAS,,19541,collin.davis@classlink.k12.nj.us,,,,5,
