sourcedId,status,dateLastModified,metadata,username,userIds,enabledUser,givenName,familyName,middleName,role,schools,role,identifier,email,sms,phone,agents,grades,password
18125,active,2018-08-05 00:00:00.000,,billy.flores,{FED:18125},True,BILLY,FLORES,DASEAN,student,2,,17580,billy.flores@classlink.k12.nj.us,,,,11,
18149,active,2019-04-28 00:00:00.000,,brittley.johnson,{FED:18149},True,BRITTLEY,JOHNSON,LAMAR,student,2,,14655,brittley.johnson@classlink.k12.nj.us,,,,12,
18162,active,2019-01-17 00:00:00.000,,jocelyn.harris,{FED:18162},True,JOCELYN,HARRIS,GENE,student,2,,19426,jocelyn.harris@classlink.k12.nj.us,,,,10,
18217,active,2019-05-25 00:00:00.000,,justin.vazquez,{FED:18217},True,JUSTIN,VAZQUEZ,SYNIA,student,2,,18924,justin.vazquez@classlink.k12.nj.us,,,,10,
18280,active,2019-05-05 00:00:00.000,,taniya.vazquezvelasco,{FED:18280},True,TANIYA,VAZQUEZ VELASCO,,student,2,,18239,taniya.vazquezvelasco@classlink.k12.nj.us,,,,10,
18317,active,2018-11-10 00:00:00.000,,giselle.houston,{FED:18317},True,GISELLE,HOUSTON,CAMILO,student,2,,15125,giselle.houston@classlink.k12.nj.us,,,,11,
18323,active,2019-03-17 00:00:00.000,,victor.runyan,{FED:18323},True,VICTOR,RUNYAN,SAVAHI,student,2,,19866,victor.runyan@classlink.k12.nj.us,,,,10,
18407,active,2018-07-15 00:00:00.000,,sharon.mayfield,{FED:18407},True,SHARON,MAYFIELD,JANE,student,2,,19319,sharon.mayfield@classlink.k12.nj.us,,,,11,
18551,active,2018-04-14 00:00:00.000,,amber.cline,{FED:18551},True,AMBER,CLINE,ALLURE,student,2,,17966,amber.cline@classlink.k12.nj.us,,,,11,
18617,active,2019-04-15 00:00:00.000,,arleth.mccollister,{FED:18617},True,ARLETH,MCCOLLISTER,,student,2,,19507,arleth.mccollister@classlink.k12.nj.us,,,,10,
18793,active,2018-11-27 00:00:00.000,,travis.harris,{FED:18793},True,TRAVIS,HARRIS,MARIE,student,2,,19428,travis.harris@classlink.k12.nj.us,,,,10,
18797,active,2018-08-17 00:00:00.000,,arthur.tucker,{FED:18797},True,ARTHUR,TUCKER,GLENICE,student,2,,14723,arthur.tucker@classlink.k12.nj.us,,,,12,
18883,active,2019-06-04 00:00:00.000,,trshaivion.tucker,{FED:18883},True,TR'SHAIVION,TUCKER,PHILIP,student,2,,17407,trshaivion.tucker@classlink.k12.nj.us,,,,11,
18956,active,2018-06-02 00:00:00.000,,katelynn.semrad,{FED:18956},True,KATELYNN,SEMRAD,,student,2,,17609,katelynn.semrad@classlink.k12.nj.us,,,,12,
19022,active,2019-03-28 00:00:00.000,,saryiah.dockery,{FED:19022},True,SARYIAH,DOCKERY,,student,2,,15158,saryiah.dockery@classlink.k12.nj.us,,,,11,
19051,active,2018-11-22 00:00:00.000,,mylei.rakestraw,{FED:19051},True,MYLEI,RAKESTRAW,MARIA,student,2,,18090,mylei.rakestraw@classlink.k12.nj.us,,,,12,
19145,active,2018-07-25 00:00:00.000,,amy.carsten,{FED:19145},True,AMY,CARSTEN,LYNN,student,2,,15638,amy.carsten@classlink.k12.nj.us,,,,12,
19214,active,2019-03-27 00:00:00.000,,kevin.hood,{FED:19214},True,KEVIN,HOOD,,student,2,,18447,kevin.hood@classlink.k12.nj.us,,,,12,
19245,active,2019-02-17 00:00:00.000,,jorja.milton,{FED:19245},True,JORJA,MILTON,MARIE,student,2,,18045,jorja.milton@classlink.k12.nj.us,,,,11,
19529,active,2018-01-12 00:00:00.000,,lari.reyesgarcia,{FED:19529},True,LARI,REYES GARCIA,SIMONE,student,2,,19934,lari.reyesgarcia@classlink.k12.nj.us,,,,11,
19539,active,2018-08-06 00:00:00.000,,anthony.flores,{FED:19539},True,ANTHONY,FLORES,UCHENNA CHINON,student,2,,18279,anthony.flores@classlink.k12.nj.us,,,,12,
19690,active,2018-03-20 00:00:00.000,,juan.hart,{FED:19690},True,JUAN,HART,ROBERT,student,2,,17653,juan.hart@classlink.k12.nj.us,,,,11,
19786,active,2018-09-14 00:00:00.000,,taylor.richardson,{FED:19786},True,TAYLOR,RICHARDSON,LEVI,student,2,,16317,taylor.richardson@classlink.k12.nj.us,,,,11,
20157,active,2018-08-30 00:00:00.000,,carly.richardson,{FED:20157},True,CARLY,RICHARDSON,DEMARICE,student,2,,17393,carly.richardson@classlink.k12.nj.us,,,,11,
20354,active,2019-03-23 00:00:00.000,,daniel.zavala,{FED:20354},True,DANIEL,ZAVALA,GABRIEL,student,2,,16716,daniel.zavala@classlink.k12.nj.us,,,,10,
20823,active,2019-02-19 00:00:00.000,,jenny.renteria,{FED:20823},True,JENNY,RENTERIA,EDWARD,student,2,,15311,jenny.renteria@classlink.k12.nj.us,,,,11,
20854,active,2019-04-19 00:00:00.000,,carlos.anguiano,{FED:20854},True,CARLOS,ANGUIANO,RENATA,student,2,,18611,carlos.anguiano@classlink.k12.nj.us,,,,11,
